TotalFinishedArea,LivingUnits,TotalAppraisedValue,SaleYear,SaleMonth,PriceRatio,AssrLandUse_APT FOUR,AssrLandUse_CONDOMINIMUM,AssrLandUse_MULTI DWLG,AssrLandUse_ONE FAMILY,AssrLandUse_THREE FAMILY,AssrLandUse_TWO FAMILY
2491.0,2.0,236900,2022,10,0.6964964119881807,False,False,False,False,False,True
2623.0,2.0,246300,2021,8,1.0150223304912709,False,False,False,False,False,True
2600.0,2.0,240200,2023,9,1.3738551207327228,False,False,False,False,False,True
1155.0,1.0,181300,2021,4,1.020408163265306,False,False,False,True,False,False
1155.875,1.0,171800,2022,7,1.338766006984866,False,False,False,True,False,False
1113.80001,1.0,176400,2022,9,1.2755102040816326,False,False,False,True,False,False
3264.25,3.0,271700,2021,8,1.1483253588516746,False,False,False,False,True,False
1585.5,1.0,169100,2022,8,1.0348905972797162,False,False,False,True,False,False
1840.0,1.0,193700,2022,8,1.0583376355188436,False,False,False,True,False,False
1944.0,1.0,223400,2024,6,1.4010743061772606,False,False,False,True,False,False
1402.39,1.0,184400,2023,6,1.4696312364425164,False,False,False,True,False,False
1590.0,1.0,189300,2023,3,1.1859482303222395,False,False,False,True,False,False
1565.0,1.0,179000,2022,4,1.1675977653631284,False,False,False,True,False,False
4679.5,1.0,318400,2023,6,0.9736180904522612,False,False,False,True,False,False
1368.0,1.0,187100,2022,3,1.2292891501870655,False,False,False,True,False,False
1368.0,1.0,187100,2021,11,0.774986638161411,False,False,False,True,False,False
1075.20001,1.0,165400,2022,6,1.293833131801693,False,False,False,True,False,False
1870.0,1.0,213400,2022,3,1.0777881911902532,False,False,False,True,False,False
3580.0,3.0,275400,2023,8,1.4161220043572984,False,False,False,False,True,False
1204.0,1.0,188300,2021,9,1.168348380244291,False,False,False,True,False,False
1643.0,1.0,208100,2022,5,1.2013455069678038,False,False,False,True,False,False
2314.0,2.0,245100,2022,7,1.2239902080783354,False,False,False,False,False,True
2805.60001,2.0,278000,2021,7,1.0075071942446043,False,False,False,False,False,True
